Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benin,BEN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604279723687078,-0.0635543626115547,-1.67025619230769,0.823534878003852,-0.559963818967559,2.22571462404701,8.29341377305138,2.37819084186469,-0.963175700346145,1.94308677782284,2.55548602095872,1.5831302398035,2.73710870107307,,
Burkina Faso,BFA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.57973792222033,-2.02936395841183,-4.43562520942377,-5.39665824179523,-5.85679889960473,-5.41986673717694,-3.94763569134413,-4.67935100399842,-4.54394107633133,-2.29426148230517,-3.11254446783194,-3.93965914240849,7.00311338170097,
Bangladesh,BGD,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.570927482606054,-0.151864704257727,-0.104760791937993,-0.631122062959504,-0.970706746206338,-1.2407973930308,-1.14512894423187,-0.829757737693226,-1.44315774648766,-0.813674182832758,-0.805802481861239,,,,
Bulgaria,BGR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.04950364172318,-3.35298452468681,-4.89442231075697,-11.344931415189,-5.03557838660578,-5.13326695995498,-14.8467330159141,-0.377813386570562,1.17646987339209,0.391989444141195,-0.375733463899647,0.193362778055991,-0.520002095323074,0.184468492846598,1.52164487840388,3.13935120193035,3.11531903560615,3.13329013511644,2.92054692614935,-0.0887584301117796,-3.31599727390006,-1.89770047651594,-0.761260591913589,,,
Bahrain,BHR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.33903420523139,-1.29630696548943,-3.99686520376176,-3.31406945225797,-6.42495431236485,-3.12812599473156,0.278952198010382,1.88916341100141,-6.08145886198443,-2.53866248397921,7.49196000883893,3.97326964329253,-0.792447659039206,1.77467910427743,4.51818556544071,6.54815868243003,3.98841627502551,3.3636833371234,5.48261214880282,-4.37704425741208,-4.77948819789433,-0.534621347603651,,0.67939690367436,,
"Bahamas, The",BHS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00762530314338,2.74531079891082,0.916692307856092,-1.60602816667661,-4.18507014725789,-2.17485314341759,-0.920115186678729,-1.49650436308403,-1.97490309738013,-0.272847141448106,
Belarus,BLR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.75932936722553,-3.58259245727276,-1.82654047613695,-2.65266147512492,-1.83559981484493,-1.06932337340911,-0.944384415485278,-1.90498964050228,0.0690840613983227,-0.826928004099411,1.13151964741395,-1.05605448409399,-0.135392204321509,0.224817150295618,1.46858342059117,0.431508710414109,2.37262158951174,0.219965068952622,-1.50065169921411,1.72645702938204,0.0884953960126745,,,
Belize,BLZ,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.614574506718315,-5.60733898744324,-7.45881582458753,-7.86967058179459,-6.60318418933736,-3.49541813434506,-1.98391353196012,-1.26407131373475,-1.64994551101394,-3.4884497729628,-5.74006506284399,-10.3754545164674,-7.02062839723067,-7.99025597011158,-9.52502717776622,-3.39772107893833,-4.13214705930791,-0.620126783111491,0.3785916107124,-1.21473592368043,-1.22123224853357,-1.44742193899923,-0.198586855933179,,,
Bermuda,BMU,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34301054342123,1.00286555400823,1.63342742122067,0.686156018486351,0.536160531125284,1.87694750944589,-0.0785863327192697,0.881476238839012,0.304309448768582,0.286644301999875,1.24731439118683,-0.75017050530323,-0.494849401544041,-0.565244228803471,-0.903357640348963,-4.79805597761099,-6.70301107751941,-5.39398875410392,-2.78386932213206,0.0906965827985376,15.0087700112248,4.20350533413556,,,,,,,,
Brazil,BRA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.38547730208384,1.50796355561216,-2.1126021034285,-6.9301095294061,-2.66277280613003,,,-0.006984641141742,-3.58592409473358,-2.47260046162198,-1.80412458286905,-2.05803176590409,-1.15821268023238,-4.29288792627115,-1.83968628728413,-3.55544122360609,-2.83731092805499,-1.83023519882885,-1.17853378952905,-3.37247505333888,-1.6189638119831,-2.44605507233028,-1.80409842703882,,,
Barbados,BRB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.35314516030534,-1.73282116944089,-2.34522095150737,-1.73955200778437,-8.08909042223933,-4.97549494015234,-6.27067850934376,-7.95974809357778,-4.58745214547958,-9.91021405054486,-12.241516561551,,
