countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Greece,84,Cherries,531,Production (tonnes),5510,60700,57200,61128,38200,44200,60300,
Greenland,85,Cherries,531,Production (tonnes),5510,,,,,,,
Grenada,86,Cherries,531,Production (tonnes),5510,,,,,,,
Guadeloupe,87,Cherries,531,Production (tonnes),5510,,,,,,,
Guam,88,Cherries,531,Production (tonnes),5510,,,,,,,
Guatemala,89,Cherries,531,Production (tonnes),5510,,,,,,,
Guinea,90,Cherries,531,Production (tonnes),5510,,,,,,,
Guinea-Bissau,175,Cherries,531,Production (tonnes),5510,,,,,,,
Guyana,91,Cherries,531,Production (tonnes),5510,977,692,568,800,828,900,
Haiti,93,Cherries,531,Production (tonnes),5510,,,,,,,
Holy See,94,Cherries,531,Production (tonnes),5510,,,,,,,
Honduras,95,Cherries,531,Production (tonnes),5510,,,,,,,
Hungary,97,Cherries,531,Production (tonnes),5510,6572,7744,8126,5758,7722,4832,
Iceland,99,Cherries,531,Production (tonnes),5510,,,,,,,
India,100,Cherries,531,Production (tonnes),5510,11282,12243,12340,13443,13392,13500,
Indonesia,101,Cherries,531,Production (tonnes),5510,,,,,,,
Iran (Islamic Republic of),102,Cherries,531,Production (tonnes),5510,200000,198768,225000,251418,151175,200000,
Iraq,103,Cherries,531,Production (tonnes),5510,,,,,,,
Ireland,104,Cherries,531,Production (tonnes),5510,,,,,,,
Isle of Man,264,Cherries,531,Production (tonnes),5510,,,,,,,
Israel,105,Cherries,531,Production (tonnes),5510,2218,2500,2484,1294,2587,4198,
Italy,106,Cherries,531,Production (tonnes),5510,106189,134407,116179,115476,112775,104766,
Jamaica,109,Cherries,531,Production (tonnes),5510,,,,,,,
Japan,110,Cherries,531,Production (tonnes),5510,16600,17000,16600,19700,20400,17800,
Jordan,112,Cherries,531,Production (tonnes),5510,1097,718,366,680,642,696,
Kazakhstan,108,Cherries,531,Production (tonnes),5510,11370,9890,10770,9110,10000,11600,
Kenya,114,Cherries,531,Production (tonnes),5510,,,,,,,
Kiribati,83,Cherries,531,Production (tonnes),5510,,,,,,,
Kuwait,118,Cherries,531,Production (tonnes),5510,,,,,,,
Kyrgyzstan,113,Cherries,531,Production (tonnes),5510,4900,8000,14000,9400,10000,9300,
Lao People's Democratic Republic,120,Cherries,531,Production (tonnes),5510,,,,,,,
Latvia,119,Cherries,531,Production (tonnes),5510,910,258,69,56,65,40,
Lebanon,121,Cherries,531,Production (tonnes),5510,30000,31000,30800,25000,21000,22500,
Lesotho,122,Cherries,531,Production (tonnes),5510,,,,,,,
