,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
25,ATG,Antigua and Barbuda,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-200,000","-400,000","-1,800,000","-1,200,000","-2,000,000","-3,700,000","-1,000,000","-400,000","-2,700,000","-36,033,330","-39,959,260","-31,625,930","-45,481,480","-45,325,920","-32,200,000","-29,666,670","-22,937,040","-26,559,260","-26,859,260","-26,218,520","-22,155,560","-21,037,040","-23,445,190","-44,518,890","-24,788,150","-41,446,720","-38,696,280","-68,266,730","-58,814,810","-65,209,310","-64,245,870","-50,945,640"
26,ARG,Argentina,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-492,000,000","-741,000,000","-668,000,000","-907,000,000","-1,512,000,000","-3,684,000,000","-4,707,000,000","-5,399,000,000","-5,701,000,000","-5,294,000,000","-4,404,000,000","-4,472,000,000","-5,127,000,000","-6,422,000,000","-4,400,000,000","-4,260,000,000","-2,383,655,000","-3,068,850,000","-3,558,753,000","-4,636,072,000","-5,464,729,000","-6,145,111,000","-7,404,518,000","-7,490,377,000","-7,547,770,000","-7,726,729,000","-7,490,685,000","-7,975,688,000","-9,282,804,000","-7,304,191,000","-6,149,578,000","-5,941,281,000","-7,550,025,000"
27,ARM,Armenia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,300,000","-4,020,000","40,020,000","44,730,000","98,510,000","60,400,000","54,930,000","52,900,000","64,455,100","88,213,570","94,491,670","107,414,600","132,518,200","215,167,100","278,386,600","471,201,100"
28,ABW,Aruba,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,368,715","-12,234,640","-17,039,110","-11,284,920","-7,765,363","-7,765,363","-7,318,436","-11,229,050","-12,737,430","-8,212,291","-11,843,580","-17,206,700","391,061","-42,875,270","-26,729,850","-58,412,210","-135,445,400","-52,977,660","-76,157,590","-483,997,000","-116,395,500","-101,340,800","-105,419,000"
29,AUS,Australia,BN.GSR.FCTY.CD,Net income (BoP current US$),"-277,760,000","-280,000,000","-272,160,000","-331,520,100","-312,480,100","-347,200,100","-339,360,100","-453,600,100","-554,400,100","-586,880,100","-684,320,100","-696,212,700","-675,008,100","-975,413,400","-929,982,400","-1,244,393,000","-1,623,398,000","-1,617,903,000","-1,917,857,000","-2,448,321,000","-2,688,180,000","-2,835,657,000","-2,518,281,000","-3,166,478,000","-4,110,999,000","-4,502,697,000","-4,896,624,000","-5,834,105,000","-8,563,291,000","-10,383,300,000","-13,176,000,000","-12,170,890,000","-10,117,600,000","-8,089,537,000","-12,367,420,000","-14,036,020,000","-15,192,680,000","-13,837,930,000","-11,345,940,000","-11,614,060,000","-10,814,100,000","-9,931,955,000","-11,452,270,000","-14,968,560,000","-21,015,340,000","-27,721,420,000","-32,382,580,000","-40,546,930,000","-39,399,060,000"
30,AUT,Austria,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,"-33,769,230","-56,192,310","-44,076,920","-46,153,850","-51,017,870","-83,713,730","-133,695,800","-107,342,800","-137,716,400","-215,124,900","-337,454,100","-486,057,500","-484,550,800","-527,737,200","-462,761,700","-412,114,700","-367,795,500","-349,778,400","-254,203,000","-676,268,200","-862,199,200","-918,691,600","-934,173,100","-942,350,300","-1,475,301,000","-1,415,377,000","-1,072,462,000","-1,269,927,000","-1,597,415,000","-438,644,900","-288,581,600","-2,001,338,000","-2,787,761,000","-2,259,287,000","-2,980,828,000","-1,461,288,000","-1,097,331,000","-1,209,805,000","-2,042,988,000","-3,673,646,000","-2,197,907,000","-2,867,268,000"
31,AZE,Azerbaijan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,042,000","-12,126,000","-9,485,000","-13,286,000","-44,969,000","-335,453,000","-367,185,000","-384,691,000","-442,008,000","-700,602,000","-1,645,637,000","-2,680,579,000","-5,079,395,000","-5,266,049,000"
32,BHS,Bahamas The,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-75,600,000","-83,600,000","-127,800,000","-133,600,000","-134,500,000","-151,900,000","-131,600,000","-138,500,000","-165,100,000","-180,600,000","-183,600,000","-183,300,000","-166,900,000","-131,600,000","-172,800,000","-179,000,000","-82,600,000","-128,400,000","-137,600,000","-135,700,000","-148,800,000","-152,600,000","-197,500,000","-126,800,000","-140,200,000","-198,900,000","-184,345,100","-152,420,000","-141,320,000","-182,064,700","-218,000,000","-231,600,000","-117,043,000"
33,BHR,Bahrain,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-216,687,700","-242,669,900","-293,188,400","-387,143,400","-575,445,300","-208,222,700","-26,861,700","-11,436,170","11,170,210","-111,702,100","-370,212,800","-397,074,500","-396,276,600","-431,117,000","-360,372,400","221,542,600","191,223,400","32,180,850","-193,883,000","-242,553,200","-58,894,340","-25,213,770","-236,116,900","-161,987,500","-270,387,600","-223,623,600","-321,570,900","-524,944,400","-492,977,500","-574,772,300","-412,351,400","-384,913,200","-298,714,400","-923,677,300"
34,BGD,Bangladesh,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-23,811,740","-32,165,410","-26,977,560","-1,547,068","6,590,802","-55,494,820","-125,244,200","-81,864,750","-67,625,450","-112,028,100","-135,521,500","-125,088,300","-125,891,000","-108,212,000","-115,563,000","-96,963,990","-65,899,650","-75,655,580","-38,254,520","68,325,640","-63,680,470","-111,369,400","-114,686,500","-164,124,400","-266,455,600","-285,294,600","-265,229,600","-304,771,300","-371,341,300","-793,630,500","-840,697,500","-967,940,600","-770,854,800"
