countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
French Guiana,69,"Coffee, green",656,Production (tonnes),5510,,,,,,,
French Polynesia,70,"Coffee, green",656,Production (tonnes),5510,12,16,17,12,20,20,
Gabon,74,"Coffee, green",656,Production (tonnes),5510,125,107,128,159,167,170,
Gambia,75,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Georgia,73,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Germany,79,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Ghana,81,"Coffee, green",656,Production (tonnes),5510,1860,1620,1860,1200,1250,600,
Gibraltar,82,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Greece,84,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Greenland,85,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Grenada,86,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guadeloupe,87,"Coffee, green",656,Production (tonnes),5510,30,20,23,14,17,18,
Guam,88,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guatemala,89,"Coffee, green",656,Production (tonnes),5510,243599,248471,249275,247501,242839,248000,
Guinea,90,"Coffee, green",656,Production (tonnes),5510,26556,27353,28173,29018,29500,30000,
Guinea-Bissau,175,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guyana,91,"Coffee, green",656,Production (tonnes),5510,160,177,170,174,168,170,
Haiti,93,"Coffee, green",656,Production (tonnes),5510,47000,35000,32479,19973,24922,26000,
Holy See,94,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Honduras,95,"Coffee, green",656,Production (tonnes),5510,236302,240948,231288,229368,282361,300000,
Hungary,97,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Iceland,99,"Coffee, green",656,Production (tonnes),5510,,,,,,,
India,100,"Coffee, green",656,Production (tonnes),5510,288000,262000,262300,289600,302000,314000,
Indonesia,101,"Coffee, green",656,Production (tonnes),5510,676475,698016,682591,684076,638600,657200,
Iran (Islamic Republic of),102,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Iraq,103,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Ireland,104,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Isle of Man,264,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Israel,105,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Italy,106,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Jamaica,109,"Coffee, green",656,Production (tonnes),5510,15117,9035,12456,9121,8099,6687,
Japan,110,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Jordan,112,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Kazakhstan,108,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Kenya,114,"Coffee, green",656,Production (tonnes),5510,53368,42000,54000,42000,36260,46000,
Kiribati,83,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Kuwait,118,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Kyrgyzstan,113,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Lao People's Democratic Republic,120,"Coffee, green",656,Production (tonnes),5510,33200,38985,46035,46290,52010,87330,
Latvia,119,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Lebanon,121,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Lesotho,122,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Liberia,123,"Coffee, green",656,Production (tonnes),5510,3180,2400,1800,600,652,700,
Libya,124,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Liechtenstein,125,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Lithuania,126,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Luxembourg,256,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Madagascar,129,"Coffee, green",656,Production (tonnes),5510,67000,59556,65000,81250,67000,72000,
Malawi,130,"Coffee, green",656,Production (tonnes),5510,1403,1122,5510,4176,4015,5684,
Malaysia,131,"Coffee, green",656,Production (tonnes),5510,21213,23061,16332,15768,15064,15818,
Maldives,132,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Mali,133,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Malta,134,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Marshall Islands,127,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Martinique,135,"Coffee, green",656,Production (tonnes),5510,42,29,29,18,22,22,
Mauritania,136,"Coffee, green",656,Production (tonnes),5510,,,,,,,
