countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Germany,79,Apples,515,Production (tonnes),5510,1070036,1046995,1070678,834960,898448,972405,
Ghana,81,Apples,515,Production (tonnes),5510,,,,,,,
Gibraltar,82,Apples,515,Production (tonnes),5510,,,,,,,
Greece,84,Apples,515,Production (tonnes),5510,251650,234700,259637,239100,255800,251000,
Greenland,85,Apples,515,Production (tonnes),5510,,,,,,,
Grenada,86,Apples,515,Production (tonnes),5510,427,419,461,513,541,560,
Guadeloupe,87,Apples,515,Production (tonnes),5510,,,,,,,
Guam,88,Apples,515,Production (tonnes),5510,,,,,,,
Guatemala,89,Apples,515,Production (tonnes),5510,21667,21778,21996,21772,20684,22000,
Guinea,90,Apples,515,Production (tonnes),5510,,,,,,,
Guinea-Bissau,175,Apples,515,Production (tonnes),5510,,,,,,,
Guyana,91,Apples,515,Production (tonnes),5510,,,,,,,
Haiti,93,Apples,515,Production (tonnes),5510,,,,,,,
Holy See,94,Apples,515,Production (tonnes),5510,,,,,,,
Honduras,95,Apples,515,Production (tonnes),5510,169,170,203,211,224,230,
Hungary,97,Apples,515,Production (tonnes),5510,170901,568600,575368,496916,292810,650595,
Iceland,99,Apples,515,Production (tonnes),5510,,,,,,,
India,100,Apples,515,Production (tonnes),5510,1624000,2001000,1985000,1777200,2891000,2203400,
Indonesia,101,Apples,515,Production (tonnes),5510,,,,,,,
Iran (Islamic Republic of),102,Apples,515,Production (tonnes),5510,2660000,2718775,2000000,1662430,1842972,1700000,
Iraq,103,Apples,515,Production (tonnes),5510,31000,36362,36576,39601,45948,46500,
Ireland,104,Apples,515,Production (tonnes),5510,45000,47147,43172,40927,43064,44000,
Isle of Man,264,Apples,515,Production (tonnes),5510,,,,,,,
Israel,105,Apples,515,Production (tonnes),5510,101226,97425,114650,131474,119231,131608,
Italy,106,Apples,515,Production (tonnes),5510,2230191,2210100,2325653,2204972,2411201,1991312,
Jamaica,109,Apples,515,Production (tonnes),5510,,,,,,,
Japan,110,Apples,515,Production (tonnes),5510,840100,910700,845600,786500,655300,793800,
Jordan,112,Apples,515,Production (tonnes),5510,31523,34913,31111,28770,39653,36377,
Kazakhstan,108,Apples,515,Production (tonnes),5510,101660,94740,117970,107150,114000,132000,
Kenya,114,Apples,515,Production (tonnes),5510,3564,3066,1492,1195,779,1128,
Kiribati,83,Apples,515,Production (tonnes),5510,,,,,,,
Kuwait,118,Apples,515,Production (tonnes),5510,,,,,,,
Kyrgyzstan,113,Apples,515,Production (tonnes),5510,122000,90900,113500,111000,127700,137000,
Lao People's Democratic Republic,120,Apples,515,Production (tonnes),5510,,,,,,,
Latvia,119,Apples,515,Production (tonnes),5510,30542,28859,12828,10325,7501,9449,
Lebanon,121,Apples,515,Production (tonnes),5510,125200,125200,138100,140000,150000,155000,
Lesotho,122,Apples,515,Production (tonnes),5510,,,,,,,
Liberia,123,Apples,515,Production (tonnes),5510,,,,,,,
Libya,124,Apples,515,Production (tonnes),5510,20000,20000,20089,22000,19900,20500,
Liechtenstein,125,Apples,515,Production (tonnes),5510,,,,,,,
Lithuania,126,Apples,515,Production (tonnes),5510,40619,74251,53259,34020,49099,72500,
Luxembourg,256,Apples,515,Production (tonnes),5510,4125,10190,2340,2406,2130,1606,
Madagascar,129,Apples,515,Production (tonnes),5510,7100,6108,6556,6637,6523,7000,
Malawi,130,Apples,515,Production (tonnes),5510,,,,,,,
Malaysia,131,Apples,515,Production (tonnes),5510,,,,,,,
Maldives,132,Apples,515,Production (tonnes),5510,,,,,,,
Mali,133,Apples,515,Production (tonnes),5510,,,,,,,
Malta,134,Apples,515,Production (tonnes),5510,63,57,57,51,42,27,
Marshall Islands,127,Apples,515,Production (tonnes),5510,,,,,,,
Martinique,135,Apples,515,Production (tonnes),5510,,,,,,,
Mauritania,136,Apples,515,Production (tonnes),5510,,,,,,,
Mauritius,137,Apples,515,Production (tonnes),5510,,,,,,,
Mayotte,270,Apples,515,Production (tonnes),5510,,,,,,,
