¥éËCountry,Country Code,"2011 [YR2011] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2011 [YR2011] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2011 [YR2011] - GINI index (World Bank estimate) [SI.POV.GINI],2011 [YR2011] - Income share held by fourth 20% [SI.DST.04TH.20],2011 [YR2011] - Income share held by highest 10% [SI.DST.10TH.10],2011 [YR2011] - Income share held by highest 20% [SI.DST.05TH.20],2011 [YR2011] - Income share held by lowest 10% [SI.DST.FRST.10],2011 [YR2011] - Income share held by lowest 20% [SI.DST.FRST.20],2011 [YR2011] - Income share held by second 20% [SI.DST.02ND.20],2011 [YR2011] - Income share held by third 20% [SI.DST.03RD.20],2011 [YR2011] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],2011 [YR2011] - Number of poor at $3.10 a day (2011 PPP) (millions) [SI.POV.NOP2],"2011 [YR2011] - Population, total [SP.POP.TOTL]",2011 [YR2011] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2011 [YR2011] - Poverty gap at $3.10 a day (2011 PPP) (%) [SI.POV.GAP2],2011 [YR2011] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],"2011 [YR2011] - Poverty gap at national poverty lines (%), including noncomparable values [SI.POV.NAGP.NC]",2011 [YR2011] - Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],2011 [YR2011] - Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population) [SI.POV.2DAY],2011 [YR2011] - Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"2011 [YR2011] - Poverty headcount ratio at national poverty lines (% of population), including noncomparable values [SI.POV.NAHC.NC]",2011 [YR2011] - Rural poverty gap at national poverty lines (%) [SI.POV.RUGP],"2011 [YR2011] - Rural poverty gap at national poverty lines (%), including noncomparable values [SI.POV.RUGP.NC]",2011 [YR2011] - Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"2011 [YR2011] - Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values [SI.POV.RUHC.NC]","2011 [YR2011] - Survey mean consumption or income per capita, bottom 40% (2005 PPP $ per day) [SI.SPR.PC40.05]","2011 [YR2011] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]","2011 [YR2011] - Survey mean consumption or income per capita, total population (2005 PPP $ per day) [SI.SPR.PCAP.05]","2011 [YR2011] - Survey mean consumption or income per capita, total population (2011 PPP $ per day) [SI.SPR.PCAP]",2011 [YR2011] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2011 [YR2011] - Urban poverty gap at national poverty lines (%), including noncomparable values [SI.POV.URGP.NC]",2011 [YR2011] - Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC],"2011 [YR2011] - Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values [SI.POV.URHC.NC]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by fourth 20% [SI.DST.04TH.20],2012 [YR2012] - Income share held by highest 10% [SI.DST.10TH.10],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 10% [SI.DST.FRST.10],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Income share held by second 20% [SI.DST.02ND.20],2012 [YR2012] - Income share held by third 20% [SI.DST.03RD.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],2012 [YR2012] - Number of poor at $3.10 a day (2011 PPP) (millions) [SI.POV.NOP2],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2012 [YR2012] - Poverty gap at $3.10 a day (2011 PPP) (%) [SI.POV.GAP2],2012 [YR2012] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],"2012 [YR2012] - Poverty gap at national poverty lines (%), including noncomparable values [SI.POV.NAGP.NC]",2012 [YR2012] - Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],2012 [YR2012] - Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population) [SI.POV.2DAY],2012 [YR2012] - Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"2012 [YR2012] - Poverty headcount ratio at national poverty lines (% of population), including noncomparable values [SI.POV.NAHC.NC]",2012 [YR2012] - Rural poverty gap at national poverty lines (%) [SI.POV.RUGP],"2012 [YR2012] - Rural poverty gap at national poverty lines (%), including noncomparable values [SI.POV.RUGP.NC]",2012 [YR2012] - Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"2012 [YR2012] - Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values [SI.POV.RUHC.NC]","2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2005 PPP $ per day) [SI.SPR.PC40.05]","2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]","2012 [YR2012] - Survey mean consumption or income per capita, total population (2005 PPP $ per day) [SI.SPR.PCAP.05]","2012 [YR2012] - Survey mean consumption or income per capita, total population (2011 PPP $ per day) [SI.SPR.PCAP]",2012 [YR2012] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2012 [YR2012] - Urban poverty gap at national poverty lines (%), including noncomparable values [SI.POV.URGP.NC]",2012 [YR2012] - Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC],"2012 [YR2012] - Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values [SI.POV.URHC.NC]"
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,3832310,..,..,..,..,..,..,17.9,17.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3828419,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,2089706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2132822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,..,..,53.1,19.36,41.89,57.56,0.98,3.25,7.53,12.3,11.02846712,22.7988493,200517584,2.93,4.94,..,..,5.5,11.37,11.1,11.1,..,..,..,..,..,..,..,..,..,..,..,..,6.929789399,4.539323419,52.67,19.34,41.67,57.18,1.04,3.38,7.65,12.44,9.290232706,18.782867,202401584,2.48,4.14,..,..,4.59,9.28,9,9,..,..,..,..,..,4.818376534,..,17.46198386,..,..,..,..
Bulgaria,BGR,..,..,34.28,22.68,26.03,41.11,2.07,6.41,12.72,17.08,0.160928383,0.342432085,7348328,0.93,1.89,..,..,2.19,4.66,21.2,21.2,..,..,..,..,..,..,..,..,..,..,..,..,1.290478108,1.368433659,36.01,22.35,27.38,42.7,2,6.16,12.2,16.59,0.148309526,0.343376736,7305888,0.77,1.68,..,..,2.03,4.7,21,21,..,..,..,..,..,7.217187949,..,15.73132878,..,..,..,..
Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,16106851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16590813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,9790151,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10124572,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,495159,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,500870,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,..,..,31.7,21.06,26.61,41.41,3.81,8.92,12.67,15.94,1.304623051,6.311515318,14593099,1.54,10.67,4.2,4.2,8.94,43.25,20.5,20.5,..,..,23.6,23.6,..,..,..,..,..,..,8.7,8.7,8.52889068,4.094210892,30.76,21.78,25.23,40.21,3.93,9.05,12.66,16.3,0.912183683,5.48793435,14832255,0.97,8.8,3.1,3.1,6.15,37,17.7,17.7,..,..,20.8,20.8,1.652166414,..,2.875536427,..,..,..,6.4,6.4
Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,21119065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21659488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,34342780,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34751476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,4530903,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4619500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,..,..,43.32,21.83,32.44,48.81,1.78,4.86,9.71,14.8,4.726318162,7.971895478,12298512,15.29,29.68,19.7,19.7,38.43,64.82,46.7,46.7,22.6,22.6,52.5,52.5,..,..,..,..,6.6,6.6,20.9,20.9,..,..,..,..,..,..,..,..,..,..,..,..,12715465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,3.869320548,2.82824084,50.84,18.42,41.72,56.99,1.68,4.52,8.2,11.86,0.223616965,0.500557976,17201305,0.5,1.07,..,..,1.3,2.91,22.2,22.2,..,..,37.7,37.7,..,6.634915139,..,20.85820586,..,..,19.9,19.9,..,..,..,..,..,..,..,..,..,..,..,..,17388437,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,1344130000,..,..,..,..,..,..,..,..,..,..,..,12.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1350695000,..,..,..,..,..,..,..,..,..,..,..,10.2,..,..,..,..,..,..,..,..
Colombia,COL,..,..,54.18,19.15,43.09,58.71,1.11,3.35,7.21,11.59,3.053544147,7.104826883,46406446,2.52,5.7,13.4,13.4,6.58,15.31,34.1,34.1,19.2,19.2,46.1,46.1,..,..,..,..,11.6,11.6,30.3,30.3,5.985889255,3.587128662,53.54,19.66,41.99,57.88,1.06,3.29,7.29,11.9,3.323864176,7.594724916,46881018,2.9,6.17,12.9,12.9,7.09,16.2,32.7,32.7,19.5,19.5,46.8,46.8,..,3.523582082,..,13.32251878,10.9,10.9,28.4,28.4
Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,715972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,733661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..,68087376,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.809694615,7.204803643,42.1,21.62,32,48.37,2.09,5.53,9.99,14.5,54.25071729,63.77516947,70291160,39.25,57.04,26.1,26.1,77.18,90.73,63.6,63.6,26.4,26.4,64.9,64.9,..,0.583222277,..,1.503387589,25.6,25.6,61.6,61.6
"Congo, Rep.",COG,7.215182671,4.289479374,40.16,22.55,29.85,46.05,2.18,5.66,10.29,15.45,1.199341589,2.210280859,4177435,9.58,21.85,16.7,16.7,28.71,52.91,46.5,46.5,31.9,31.9,74.8,74.8,..,1.518799965,..,3.810057459,9.2,9.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4286188,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,..,..,48.6,20.68,36.97,53.89,1.49,4.25,8.31,12.87,0.080508523,0.187239821,4600487,0.67,1.52,8.3,8.3,1.75,4.07,21.7,21.7,11.3,11.3,27.1,27.1,..,..,..,..,7.3,7.3,19.7,19.7,..,..,48.61,20.61,37.05,53.91,1.47,4.21,8.37,12.91,0.080051346,0.189423824,4654148,0.68,1.51,8.1,8.1,1.72,4.07,20.6,20.6,11.3,11.3,27.1,27.1,..,..,..,..,6.9,6.9,18.2,18.2
Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,20604172,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21102641,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,..,..,31.98,23.61,23.63,39.04,2.48,6.99,12.86,17.5,0.036385287,0,4280622,0.51,0,..,..,0.85,0,20.5,20.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4267558,..,..,..,..,..,..,19.5,19.5,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,..,..,32.63,21.65,26.7,41.32,3.41,8.38,12.47,16.18,..,..,1116644,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.75,-1.58,34.31,21.36,28.04,42.74,3.29,7.99,12.11,15.81,..,..,1129303,..,..,..,..,..,..,..,..,..,..,..,..,..,23.571668,..,46.911777,..,..,..,..
Czech Republic,CZE,..,..,26.39,21.98,22.24,36.19,3.69,9.33,14.59,17.91,0.005248044,0,10496088,0.06,0,..,..,0.05,0,9.6,9.6,..,..,..,..,..,..,..,..,..,..,..,..,0.150883946,0.374039198,26.13,21.92,22.17,36.12,3.87,9.55,14.52,17.9,0.006306471,0,10510785,0.08,0,..,..,0.06,0,8.6,8.6,..,..,..,..,..,15.82033574,..,26.29787639,..,..,..,..
