Country,Country Code,"2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],"2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]",2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Uruguay,URY,7.865755688,4.331400385,41.32,46.9,5.23,0.013587012,3396753,0.11,8.754755987,0.600000024,6.5,18.5,,11.19919216,1.982966815,105.1582903,41.9,4.13,6711.547757,29.25953616
Malta,MLT,,,,,,,,,,48.59999847,6.400000095,14.10000038,,4.7025,2.465704017,96.47755871,41.3,1.02,,47.67375657
Colombia,COL,5.985889255,3.587128662,53.54,57.88,3.29,3.323864176,46881018,2.9,3.523582082,14.80000019,10.60000038,20.5,1.090501294,12.5850402,9.317552811,106.7875,76,4.41,3588.068444,37.9395562
France,FRA,0.19,0.39,33.1,41.23,7.8,,65639975,,26.828167,40,9.899999619,23.89999962,,,,96.40580338,67.4,1.02,29508.50396,74.81973389
Thailand,THA,4.777740623,3.949491578,39.26,46.32,6.65,0.040298478,67164130,0.01,6.210629052,13.10000038,0.699999988,2.799999952,0.574777456,7.0975,5.132783344,,37.2,,2725.490923,44.21260881
Saudi Arabia,SAU,,,,,,,,,,41.29999924,5.599999905,28.29999924,,,,99.6125,14.7,4.3,,
Taiwan,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,30.10000038,0.5,,,5.38110455,-1.37480942,,11.3,4.12,47985.41939,
Spain,ESP,-1.32,0,35.89,41.83,5.76,,46773055,,16.040552,44.40000153,25.20000076,52.90000153,,,,98.37331978,37.9,1.02,20248.64394,40.87054961
Algeria,DZA,,,,,,,37439427,,,,11,27.5,0.060945096,8,0.412432693,104.7883732,72.8,,2465.088839,
Guatemala,GTM,,,,,,,15368759,,,12.89999962,2.900000095,,1.354902477,13.48666667,9.837321919,,40.9,2.74,2038.335974,31.43098509
Suriname,SUR,,,,,,,528535,,,,6.300000191,,,11.74166667,1.283076405,,27.9,,,41.86410177
Kuwait,KWT,,,,,,,,,,,3.400000095,,,4.983791667,-2.328577595,,12.4,4.37,,
Bahrain,BHR,,,,,,,,,,,3.700000048,5.300000191,,6.035,3.724826744,95.86083333,13.5,5.69,,
Trinidad and Tobago,TTO,,,,,,,1341579,,,,5,,,7.708333333,8.078346205,107.0517842,31,,6142.347179,
Venezuela,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,0.205283545,-1.49253369,41.8,48.15,5.7,0.252604893,6072233,0.98,3.639461505,,6.099999905,12.39999962,2.2677176,,,,34.8,2.42,2637.639847,32.72653907
Malaysia,MYS,,,,,,,29021940,,,8.899999619,3,10.30000019,0.819916653,4.785833333,3.748526193,100.1041649,34.6,,5058.193361,71.35113391
Nicaragua,NIC,,,,,,,5877034,,,,7.099999905,,1.782491255,11.99430816,4.57502312,97.96,62.4,,1235.223275,35.21425094
