,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
11,MIC,Middle income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,"379,774,200,000","360,173,800,000","359,768,700,000","383,973,000,000","366,830,500,000","317,120,900,000","384,404,000,000","427,927,400,000","470,223,000,000","539,202,100,000","557,434,100,000","605,013,300,000","645,496,900,000","757,195,000,000","922,193,800,000","1,027,864,000,000","1,107,246,000,000","1,049,987,000,000","1,117,650,000,000","1,373,105,000,000","1,351,013,000,000","1,473,921,000,000","1,776,381,000,000","2,283,623,000,000","2,831,304,000,000","3,445,571,000,000","4,122,593,000,000","4,967,024,000,000"
12,MNA,Middle East & North Africa,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NOC,High income: nonOECD,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"102,263,800,000","129,755,800,000","146,627,300,000","150,994,800,000","225,104,100,000","334,841,200,000","354,505,600,000","270,582,100,000","226,688,000,000","226,399,300,000","198,709,100,000","187,264,900,000","234,585,100,000","270,388,200,000","306,694,100,000","353,715,700,000","375,722,900,000","413,144,400,000","433,014,200,000","491,052,300,000","607,862,100,000","658,995,800,000","672,484,400,000","566,840,100,000","608,099,600,000","754,215,400,000","676,016,600,000","705,111,000,000","814,769,800,000","994,381,900,000","1,181,947,000,000","1,356,362,000,000","1,496,974,000,000","1,723,981,000,000"
14,OEC,High income: OECD,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"591,730,200,000","649,950,600,000","735,182,900,000","880,274,600,000","1,089,750,000,000","1,283,798,000,000","1,276,960,000,000","1,206,067,000,000","1,191,235,000,000","1,274,192,000,000","1,315,184,000,000","1,531,745,000,000","1,795,924,000,000","2,071,825,000,000","2,216,204,000,000","2,538,760,000,000","2,589,087,000,000","2,756,375,000,000","2,666,510,000,000","3,000,236,000,000","3,610,057,000,000","3,711,302,000,000","3,812,056,000,000","3,841,977,000,000","3,921,089,000,000","4,221,419,000,000","4,059,259,000,000","4,187,310,000,000","4,833,290,000,000","5,728,934,000,000","6,236,059,000,000","7,028,048,000,000","8,039,839,000,000","8,994,171,000,000"
15,SAS,South Asia,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"6,944,247,000","7,934,987,000","9,026,510,000","9,766,472,000","11,736,680,000","13,479,870,000","13,803,190,000","14,090,390,000","15,206,060,000","15,924,400,000","15,166,810,000","16,118,630,000","18,940,640,000","21,280,510,000","24,107,540,000","27,639,960,000","28,680,220,000","31,919,790,000","34,749,050,000","39,407,230,000","47,780,540,000","51,052,380,000","54,284,230,000","52,694,940,000","55,563,870,000","65,007,900,000","65,959,650,000","72,873,990,000","86,196,980,000","106,587,500,000","134,940,700,000","161,067,400,000","189,640,900,000","235,216,600,000"
16,SSA,Sub-Saharan Africa,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,"39,713,340,000","40,612,760,000","55,953,060,000","78,104,110,000","62,068,190,000","50,663,170,000","48,890,140,000","50,482,380,000","50,195,110,000","43,977,530,000","54,134,730,000","54,956,040,000","56,337,020,000","66,438,140,000","65,088,970,000","64,230,120,000","63,340,630,000","65,492,170,000","75,589,240,000","85,549,690,000","85,357,340,000","73,139,270,000","78,883,350,000","94,663,290,000","90,712,600,000","94,085,980,000","118,085,800,000","153,184,900,000","203,396,900,000","234,115,500,000","278,495,900,000","338,244,500,000"
17,UMC,Upper middle income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,"189,161,600,000","247,441,400,000","241,489,900,000","226,578,300,000","229,382,000,000","247,581,600,000","235,161,600,000","204,727,900,000","241,938,600,000","267,619,600,000","286,617,500,000","314,697,900,000","313,452,000,000","336,537,000,000","362,312,800,000","417,088,000,000","513,111,500,000","572,481,000,000","606,882,300,000","575,390,400,000","603,978,600,000","736,051,000,000","716,179,100,000","752,099,900,000","874,056,000,000","1,114,437,000,000","1,357,320,000,000","1,632,447,000,000","1,893,330,000,000","2,302,336,000,000"
18,WLD,World,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"882,454,000,000","985,418,500,000","1,112,157,000,000","1,281,470,000,000","1,630,407,000,000","1,977,419,000,000","1,965,977,000,000","1,816,902,000,000","1,772,621,000,000","1,885,438,000,000","1,895,953,000,000","2,077,267,000,000","2,454,664,000,000","2,815,831,000,000","3,033,579,000,000","3,476,479,000,000","3,561,131,000,000","3,808,797,000,000","3,763,545,000,000","4,266,199,000,000","5,153,730,000,000","5,401,400,000,000","5,599,922,000,000","5,507,149,000,000","5,696,045,000,000","6,394,486,000,000","6,136,215,000,000","6,416,223,000,000","7,479,997,000,000","9,067,097,000,000","10,303,070,000,000","11,888,770,000,000","13,725,660,000,000","15,755,320,000,000"
19,AFG,Afghanistan,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,"493,700,000","705,200,000","690,800,000","707,800,000","728,800,000","787,700,000","628,200,000","497,000,000","538,700,000","453,800,000","252,300,000",,,,,,,,,,,,,,,,,,,
20,ALB,Albania,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,"367,200,000","418,000,000","359,900,000","341,000,000","319,100,000","303,500,000","311,300,000","311,200,000","344,600,000","393,700,000","322,100,000","73,000,000","70,000,000","111,600,000","141,300,000","204,900,000","243,700,000","158,600,000","208,010,000","275,000,000","255,700,000","304,500,000","330,240,000","447,208,800","603,337,100","656,318,000","792,872,700","1,078,721,000","1,355,648,000"
21,DZA,Algeria,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,"6,008,790,000","6,339,797,000","9,483,901,000","13,651,770,000","14,116,940,000","13,509,240,000","12,742,230,000","12,791,930,000","13,034,130,000","8,064,536,000","9,028,522,000","7,620,419,000","9,534,000,000","12,964,650,000","12,330,350,000",,,,,,,,,,,,,,,,,
22,ASM,American Samoa,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ADO,Andorra,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AGO,Angola,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,"2,301,000,000","1,346,000,000","2,322,000,000","2,492,000,000","3,014,000,000","3,883,900,000","3,449,300,000","3,832,800,000","2,900,500,000","3,016,600,000","3,722,700,000","5,095,000,000","5,006,760,000","3,542,870,000","5,156,530,000","7,920,710,000","6,534,320,000","8,327,889,000","9,508,177,000","13,475,000,000","24,109,410,000","31,862,240,000","44,396,190,000","63,913,940,000"
25,ATG,Antigua and Barbuda,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,"6,600,000","12,600,000","12,000,000","59,500,000","51,400,000","49,300,000","36,500,000","35,200,000","28,300,000","31,529,630","26,303,700","28,192,590","29,144,440","33,425,930","55,203,700","75,025,930","62,081,480","45,233,330","53,148,150","38,877,780","38,796,300","37,381,480","37,882,060","52,360,440","44,656,300","33,645,850","44,725,100","57,129,640","82,524,900","74,027,970","75,580,360","76,062,940"
26,ARG,Argentina,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,"3,918,000,000","5,651,000,000","6,401,000,000","7,810,000,000","8,021,000,000","9,143,000,000","7,623,000,000","7,835,000,000","8,100,000,000","8,396,000,000","6,852,000,000","6,360,000,000","9,134,000,000","9,573,000,000","12,354,000,000","11,978,000,000","12,398,900,000","13,268,900,000","16,023,300,000","21,161,730,000","24,042,700,000","26,430,800,000","26,433,700,000","23,308,600,000","26,341,000,000","26,542,700,000","25,650,600,000","29,938,800,000","34,575,700,000","40,386,800,000","46,546,200,000","55,980,300,000","70,020,600,000"
27,ARM,Armenia,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,190,000","215,350,000","270,900,000","290,440,000","233,640,000","228,890,000","247,310,000","309,909,000","353,105,200","513,784,500","696,128,100","738,310,700","1,004,854,000","1,025,446,000","1,196,660,000","1,112,020,000"
28,ABW,Aruba,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,"29,553,070","45,139,660","87,374,300","107,486,000","155,474,900","878,770,900","1,069,218,000","1,154,358,000","1,296,760,000","1,347,207,000","1,735,698,000","1,728,659,000","1,164,804,000","1,389,458,000","2,523,502,000","2,423,184,000","1,487,933,000","2,051,788,000","2,723,369,000","3,483,307,000","3,667,134,000","2,690,838,000","3,700,614,000"
29,AUS,Australia,BX.GSR.MRCH.CD,Goods exports (BoP current US$),"1,995,840,000","2,357,600,000","2,374,400,000","2,791,041,000","3,024,001,000","2,941,121,000","3,087,841,000","3,393,601,000","3,430,561,000","4,045,441,000","4,623,361,000","5,064,887,000","6,314,382,000","9,356,817,000","10,906,860,000","11,837,630,000","13,117,760,000","13,351,230,000","14,288,420,000","18,824,860,000","21,892,380,000","21,671,310,000","21,600,510,000","19,765,520,000","23,158,580,000","22,886,380,000","22,639,360,000","27,377,320,000","33,412,530,000","37,160,420,000","39,641,830,000","42,361,790,000","42,816,130,000","42,636,580,000","47,370,610,000","53,219,560,000","60,396,900,000","64,892,690,000","55,883,630,000","56,095,970,000","64,003,770,000","63,626,450,000","65,013,590,000","70,522,480,000","87,165,850,000","107,011,100,000","124,913,100,000","142,421,000,000","189,057,400,000"
30,AUT,Austria,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,"1,795,654,000","1,968,731,000","2,417,154,000","2,862,461,000","3,159,675,000","3,890,211,000","5,290,751,000","7,570,081,000","7,620,232,000","8,471,595,000","9,737,238,000","12,202,870,000","15,474,010,000","17,226,910,000","15,769,190,000","15,552,180,000","15,292,250,000","15,475,440,000","16,875,650,000","21,725,220,000","26,625,820,000","30,157,820,000","31,960,010,000","40,414,330,000","40,352,850,000","44,515,580,000","40,271,480,000","45,175,140,000","57,695,200,000","57,937,280,000","58,662,250,000","63,299,060,000","64,421,210,000","64,684,770,000","66,899,970,000","73,667,490,000","88,104,800,000","109,875,500,000","119,227,700,000","133,844,200,000","162,899,400,000","179,197,100,000"
31,AZE,Azerbaijan,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"612,343,000","643,669,000","808,257,000","677,751,000","1,025,231,000","1,858,335,000","2,078,931,000","2,304,893,000","2,624,618,000","3,742,982,000","7,648,962,000","13,014,630,000","21,269,320,000","30,586,340,000"
32,BHS,Bahamas The,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,"2,694,200,000","2,637,300,000","2,192,400,000","3,577,800,000","5,006,200,000","3,670,600,000","2,555,600,000","2,669,000,000","2,437,600,000","862,500,000","335,300,000","324,800,000","310,800,000","221,000,000","283,500,000","229,400,000","216,600,000","192,200,000","198,500,000","225,400,000","273,300,000","295,000,000","362,900,000","406,800,000","464,800,000","416,900,000","422,066,900","426,530,000","477,460,000","549,132,500","703,540,000","801,874,100","955,810,000"
33,BHR,Bahrain,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"1,203,034,000","1,517,951,000","1,848,856,000","1,891,841,000","2,499,099,000","3,433,154,000","4,177,128,000","3,694,973,000","3,119,415,000","3,203,989,000","2,896,808,000","2,199,468,000","2,429,521,000","2,411,436,000","2,831,117,000","3,760,638,000","3,513,298,000","3,465,425,000","3,723,404,000","3,617,022,000","4,114,362,000","4,702,128,000","4,382,979,000","3,270,213,000","4,362,766,000","6,242,659,000","5,656,013,000","5,888,091,000","6,720,612,000","7,660,300,000","10,348,670,000","12,339,840,000","13,790,160,000","17,491,220,000"
34,BGD,Bangladesh,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,"399,293,200","476,434,800","549,261,800","655,590,700","793,230,500","790,466,600","768,435,500","723,946,900","931,742,100","999,457,000","879,997,900","1,076,879,000","1,291,024,000","1,304,772,000","1,672,402,000","1,688,659,000","2,097,866,000","2,544,671,000","2,934,414,000","3,733,288,000","4,009,290,000","4,839,914,000","5,141,447,000","5,458,283,000","6,399,173,000","6,084,729,000","6,102,362,000","7,050,128,000","8,150,681,000","9,302,475,000","11,553,690,000","12,474,290,000","15,441,800,000"
