countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Georgia,73,Grapes,560,Production (tonnes),5510,227300,175800,150100,120700,159600,144000,
Germany,79,Grapes,560,Production (tonnes),5510,1400600,1351500,1235000,952500,1250000,1225950,
Ghana,81,Grapes,560,Production (tonnes),5510,,,,,,,
Gibraltar,82,Grapes,560,Production (tonnes),5510,,,,,,,
Greece,84,Grapes,560,Production (tonnes),5510,940600,852900,955000,1002900,856600,978200,
Greenland,85,Grapes,560,Production (tonnes),5510,,,,,,,
Grenada,86,Grapes,560,Production (tonnes),5510,,,,,,,
Guadeloupe,87,Grapes,560,Production (tonnes),5510,,,,,,,
Guam,88,Grapes,560,Production (tonnes),5510,,,,,,,
Guatemala,89,Grapes,560,Production (tonnes),5510,14819,15782,16331,16876,17067,18500,
Guinea,90,Grapes,560,Production (tonnes),5510,,,,,,,
Guinea-Bissau,175,Grapes,560,Production (tonnes),5510,,,,,,,
Guyana,91,Grapes,560,Production (tonnes),5510,,,,,,,
Haiti,93,Grapes,560,Production (tonnes),5510,,,,,,,
Holy See,94,Grapes,560,Production (tonnes),5510,,,,,,,
Honduras,95,Grapes,560,Production (tonnes),5510,180,181,146,163,177,182,
Hungary,97,Grapes,560,Production (tonnes),5510,540071,570502,550000,294771,449870,356363,
Iceland,99,Grapes,560,Production (tonnes),5510,,,,,,,
India,100,Grapes,560,Production (tonnes),5510,1685300,1735000,1878000,880700,1235000,1240000,
Indonesia,101,Grapes,560,Production (tonnes),5510,,,,,,,
Iran (Islamic Republic of),102,Grapes,560,Production (tonnes),5510,2000000,2255672,2305000,2255672,2112715,2150000,
Iraq,103,Grapes,560,Production (tonnes),5510,184000,203223,194731,212649,226718,226718,
Ireland,104,Grapes,560,Production (tonnes),5510,,,,,,,
Isle of Man,264,Grapes,560,Production (tonnes),5510,,,,,,,
Israel,105,Grapes,560,Production (tonnes),5510,112851,96937,91181,95075,89476,93989,
Italy,106,Grapes,560,Production (tonnes),5510,7392543,7793301,8242500,7787800,7444881,5819010,
Jamaica,109,Grapes,560,Production (tonnes),5510,,,,,,,
Japan,110,Grapes,560,Production (tonnes),5510,209100,201000,202200,184800,172600,198300,
Jordan,112,Grapes,560,Production (tonnes),5510,27604,26370,34475,29683,38371,35688,
Kazakhstan,108,Grapes,560,Production (tonnes),5510,43090,33460,55720,56350,57100,71700,
Kenya,114,Grapes,560,Production (tonnes),5510,,,,,,,
Kiribati,83,Grapes,560,Production (tonnes),5510,,,,,,,
Kuwait,118,Grapes,560,Production (tonnes),5510,29,30,36,43,44,45,
Kyrgyzstan,113,Grapes,560,Production (tonnes),5510,14874,10491,12276,4509,6697,7850,
Lao People's Democratic Republic,120,Grapes,560,Production (tonnes),5510,,,,,,,
Latvia,119,Grapes,560,Production (tonnes),5510,,,,,,,
Lebanon,121,Grapes,560,Production (tonnes),5510,118900,118900,108000,90000,89000,92000,
Lesotho,122,Grapes,560,Production (tonnes),5510,,,,,,,
Liberia,123,Grapes,560,Production (tonnes),5510,,,,,,,
Libya,124,Grapes,560,Production (tonnes),5510,30000,30000,30113,35000,35115,33000,
Liechtenstein,125,Grapes,560,Production (tonnes),5510,184,186,192,184,191,195,
Lithuania,126,Grapes,560,Production (tonnes),5510,,,,,,,
Luxembourg,256,Grapes,560,Production (tonnes),5510,16927,17600,18341,14674,17568,11318,
Madagascar,129,Grapes,560,Production (tonnes),5510,12000,11982,12801,12959,12737,13000,
Malawi,130,Grapes,560,Production (tonnes),5510,,,,,,,
Malaysia,131,Grapes,560,Production (tonnes),5510,,,,,,,
Maldives,132,Grapes,560,Production (tonnes),5510,,,,,,,
Mali,133,Grapes,560,Production (tonnes),5510,,,,,,,
Malta,134,Grapes,560,Production (tonnes),5510,3387,4898,4821,4638,4478,4555,
Marshall Islands,127,Grapes,560,Production (tonnes),5510,,,,,,,
Martinique,135,Grapes,560,Production (tonnes),5510,,,,,,,
Mauritania,136,Grapes,560,Production (tonnes),5510,,,,,,,
Mauritius,137,Grapes,560,Production (tonnes),5510,,,,,,,
Mayotte,270,Grapes,560,Production (tonnes),5510,,,,,,,
Mexico,138,Grapes,560,Production (tonnes),5510,356258,307478,274828,307147,281145,375298,
Micronesia (Federated States of),145,Grapes,560,Production (tonnes),5510,,,,,,,
Monaco,140,Grapes,560,Production (tonnes),5510,,,,,,,
Mongolia,141,Grapes,560,Production (tonnes),5510,,,,,,,
Montenegro,273,Grapes,560,Production (tonnes),5510,35402,43989,38635,40804,32815,38861,
Montserrat,142,Grapes,560,Production (tonnes),5510,,,,,,,
Morocco,143,Grapes,560,Production (tonnes),5510,323800,290794,338130,344334,381861,341902,
Mozambique,144,Grapes,560,Production (tonnes),5510,,,,,,,
Myanmar,28,Grapes,560,Production (tonnes),5510,,,,,,,
Namibia,147,Grapes,560,Production (tonnes),5510,20000,19764,20000,21500,22000,23000,
Nauru,148,Grapes,560,Production (tonnes),5510,,,,,,,
Nepal,149,Grapes,560,Production (tonnes),5510,,,,,,,
Netherlands,150,Grapes,560,Production (tonnes),5510,860,875,880,900,1108,1200,
Netherlands Antilles,151,Grapes,560,Production (tonnes),5510,,,,,,,
New Caledonia,153,Grapes,560,Production (tonnes),5510,,,,,,,
New Zealand,156,Grapes,560,Production (tonnes),5510,205000,285000,285000,266000,328000,340000,
Nicaragua,157,Grapes,560,Production (tonnes),5510,,,,,,,
Niger,158,Grapes,560,Production (tonnes),5510,,,,,,,
Nigeria,159,Grapes,560,Production (tonnes),5510,,,,,,,
Niue,160,Grapes,560,Production (tonnes),5510,,,,,,,
Norfolk Island,161,Grapes,560,Production (tonnes),5510,,,,,,,
Northern Mariana Islands,163,Grapes,560,Production (tonnes),5510,,,,,,,
Norway,162,Grapes,560,Production (tonnes),5510,,,,,,,
Occupied Palestinian Territory,299,Grapes,560,Production (tonnes),5510,64770,55164,38000,16000,15000,16000,
Oman,221,Grapes,560,Production (tonnes),5510,,,,,,,
Pacific Islands Trust Territory,164,Grapes,560,Production (tonnes),5510,,,,,,,
Pakistan,165,Grapes,560,Production (tonnes),5510,75369,76095,64727,64413,64317,63500,
Palau,180,Grapes,560,Production (tonnes),5510,,,,,,,
Panama,166,Grapes,560,Production (tonnes),5510,,,,,,,
Papua New Guinea,168,Grapes,560,Production (tonnes),5510,,,,,,,
Paraguay,169,Grapes,560,Production (tonnes),5510,2300,1767,1809,1936,1936,1936,
Peru,170,Grapes,560,Production (tonnes),5510,196604,223371,264367,280468,296902,365114,
Philippines,171,Grapes,560,Production (tonnes),5510,125,151,147,152,162,169,
Pitcairn Islands,172,Grapes,560,Production (tonnes),5510,,,,,,,
Poland,173,Grapes,560,Production (tonnes),5510,,,,,,,
Portugal,174,Grapes,560,Production (tonnes),5510,806486,750924,784668,947298,744823,839500,
Puerto Rico,177,Grapes,560,Production (tonnes),5510,,,,,,,
Qatar,179,Grapes,560,Production (tonnes),5510,15,12,10,8,11,8,
Republic of Korea,117,Grapes,560,Production (tonnes),5510,328680,333596,332978,305543,269150,277917,
Republic of Moldova,146,Grapes,560,Production (tonnes),5510,597957,635513,685102,481620,594842,505917,
Réunion,182,Grapes,560,Production (tonnes),5510,218,215,196,240,236,240,
Romania,183,Grapes,560,Production (tonnes),5510,873224,996023,990232,740118,879487,746385,
Russian Federation,185,Grapes,560,Production (tonnes),5510,315030,267880,298720,324290,412380,266790,
Rwanda,184,Grapes,560,Production (tonnes),5510,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",187,Grapes,560,Production (tonnes),5510,,,,,,,
Saint Kitts and Nevis,188,Grapes,560,Production (tonnes),5510,,,,,,,
Saint Lucia,189,Grapes,560,Production (tonnes),5510,,,,,,,
Saint Pierre and Miquelon,190,Grapes,560,Production (tonnes),5510,,,,,,,
Saint Vincent and the Grenadines,191,Grapes,560,Production (tonnes),5510,,,,,,,
Samoa,244,Grapes,560,Production (tonnes),5510,,,,,,,
San Marino,192,Grapes,560,Production (tonnes),5510,,,,,,,
Sao Tome and Principe,193,Grapes,560,Production (tonnes),5510,,,,,,,
Saudi Arabia,194,Grapes,560,Production (tonnes),5510,144430,161516,160177,138576,139327,150000,
Senegal,195,Grapes,560,Production (tonnes),5510,,,,,,,
Serbia,272,Grapes,560,Production (tonnes),5510,353343,372967,431306,330070,324919,263419,
